@relation 'marketing-18204307-weka.filters.unsupervised.attribute.Remove-R1,4-6,14,17'

@attribute job {education,tech,entrepreneur,retail,management,retired,self-employed,services,student,construction,unemployed,unknown}
@attribute status {divorced,married,single}
@attribute housing_loan {no,yes}
@attribute personal_loan {no,yes}
@attribute contact {email,phone,unknown}
@attribute contact_day numeric
@attribute contact_month {apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep}
@attribute contact_duration numeric
@attribute num_contacts numeric
@attribute num_last numeric
@attribute last_outcome {failure,other,success,unknown}

@data
tech,divorced,yes,no,unknown,29,may,117,1,0,unknown
tech,single,yes,no,email,18,may,232,2,0,unknown
management,married,yes,no,email,14,may,646,5,0,unknown
construction,married,no,no,email,11,aug,230,3,0,unknown
management,married,yes,yes,unknown,13,may,213,1,0,unknown
services,single,yes,no,email,18,may,131,6,9,failure
education,married,yes,yes,unknown,4,jun,344,2,0,unknown
construction,married,yes,no,unknown,30,may,762,3,0,unknown
construction,divorced,yes,no,unknown,8,may,461,3,0,unknown
tech,single,no,no,email,6,feb,860,2,0,unknown
construction,married,yes,no,email,18,nov,854,1,0,unknown
unknown,married,no,no,unknown,5,jun,48,2,0,unknown
construction,divorced,no,no,email,5,aug,131,2,0,unknown
construction,married,no,no,email,13,aug,136,4,0,unknown
education,single,yes,no,email,27,may,223,3,2,failure
construction,single,yes,no,email,1,jun,232,2,0,unknown
construction,married,yes,no,email,3,mar,152,2,0,unknown
retired,single,no,no,email,21,jul,106,3,0,unknown
construction,divorced,no,no,email,28,jul,264,5,0,unknown
management,divorced,no,no,email,12,aug,1282,6,0,unknown
management,married,yes,no,unknown,27,may,245,2,0,unknown
education,married,no,no,email,12,mar,212,1,0,unknown
management,married,no,yes,email,25,jul,171,2,0,unknown
retired,single,no,no,email,29,jul,417,1,4,success
tech,married,no,no,unknown,29,may,184,1,0,unknown
management,married,yes,no,email,21,nov,67,1,0,unknown
construction,single,yes,yes,unknown,3,jun,89,1,0,unknown
tech,married,yes,yes,unknown,27,may,514,1,0,unknown
management,married,yes,no,email,13,may,469,1,0,unknown
student,single,no,no,email,24,aug,148,2,0,unknown
management,married,no,no,email,18,aug,998,6,0,unknown
management,single,yes,no,phone,9,jul,236,4,0,unknown
management,divorced,yes,no,email,10,dec,798,1,5,other
tech,married,no,no,email,15,apr,330,1,4,success
management,married,no,no,email,2,feb,270,1,0,unknown
education,married,yes,no,unknown,19,may,420,1,0,unknown
education,married,yes,no,email,3,jun,224,2,0,unknown
management,single,no,no,unknown,12,may,757,2,0,unknown
retail,married,no,no,unknown,12,jun,1178,3,0,unknown
tech,married,yes,yes,email,16,jul,1018,2,0,unknown
entrepreneur,divorced,yes,no,email,30,jul,988,2,0,unknown
construction,single,no,no,email,16,feb,91,3,0,unknown
management,single,no,no,email,16,dec,314,1,1,success
student,single,no,no,email,25,may,112,1,0,unknown
tech,married,no,no,unknown,20,jun,36,4,0,unknown
education,divorced,no,yes,email,10,jul,542,1,0,unknown
retired,married,no,no,phone,9,sep,595,1,0,unknown
management,divorced,yes,no,unknown,18,jun,89,4,0,unknown
tech,married,yes,no,email,6,may,451,1,2,failure
student,married,no,no,unknown,18,jun,115,1,0,unknown
retired,married,no,no,unknown,11,jun,199,6,0,unknown
services,married,yes,no,unknown,3,jun,193,1,0,unknown
retired,married,yes,yes,unknown,28,may,648,1,0,unknown
unknown,single,no,no,email,27,feb,30,3,0,unknown
retail,married,no,yes,phone,7,jul,94,2,0,unknown
management,married,yes,no,email,17,nov,525,3,0,unknown
services,married,yes,no,unknown,20,may,273,1,0,unknown
retired,divorced,no,no,unknown,5,nov,669,1,0,unknown
retired,married,no,no,phone,16,oct,434,1,1,failure
education,married,no,no,email,5,jun,397,1,0,unknown
construction,married,yes,no,email,27,jan,701,1,0,unknown
tech,married,yes,no,unknown,9,may,103,2,0,unknown
tech,married,yes,no,unknown,27,may,260,1,0,unknown
education,single,no,no,email,19,oct,233,1,20,failure
construction,single,yes,no,email,11,aug,213,4,0,unknown
retired,divorced,no,no,phone,14,jul,897,2,0,unknown
construction,married,no,no,email,30,apr,815,1,1,other
construction,married,yes,no,phone,18,nov,195,3,8,other
tech,married,no,no,email,25,aug,139,9,0,unknown
tech,single,no,no,email,30,jan,76,2,1,failure
construction,single,no,no,email,22,may,796,1,1,failure
tech,single,no,no,email,23,jun,1407,1,0,unknown
tech,married,yes,no,email,12,may,463,1,0,unknown
services,single,yes,no,unknown,28,may,25,1,0,unknown
tech,married,yes,yes,unknown,23,may,293,1,0,unknown
education,married,yes,no,unknown,2,jun,111,4,0,unknown
retired,divorced,no,no,phone,22,oct,97,1,0,unknown
entrepreneur,single,yes,no,email,19,nov,93,1,8,failure
student,single,no,no,email,27,mar,378,1,0,unknown
unemployed,married,yes,no,phone,30,jan,66,1,1,other
retired,divorced,no,no,email,8,jun,506,1,0,unknown
tech,married,no,no,email,1,jun,314,1,0,unknown
services,divorced,yes,no,email,12,may,955,2,0,unknown
tech,single,no,no,email,7,jul,387,1,0,unknown
services,single,yes,no,unknown,28,may,231,2,0,unknown
services,single,no,no,email,19,oct,385,2,0,unknown
entrepreneur,married,no,no,unknown,16,jun,382,3,0,unknown
tech,single,no,no,email,8,jul,474,2,0,unknown
retail,married,no,yes,unknown,5,jun,701,1,0,unknown
tech,single,yes,no,email,7,may,1516,2,2,other
management,married,no,no,email,28,aug,110,5,0,unknown
management,married,yes,no,email,5,may,138,1,0,unknown
construction,single,no,no,email,12,aug,664,3,0,unknown
self-employed,married,no,yes,unknown,26,jun,215,3,0,unknown
tech,single,no,yes,email,29,jul,80,8,0,unknown
services,married,yes,no,email,12,may,750,2,0,unknown
tech,married,yes,no,email,15,may,830,1,2,failure
education,married,no,no,unknown,20,jun,89,1,0,unknown
retail,married,no,no,phone,16,mar,80,4,0,unknown
tech,married,yes,no,unknown,5,may,226,1,0,unknown
education,single,yes,no,email,7,may,127,1,0,unknown
services,married,no,no,unknown,5,may,234,2,0,unknown
services,single,no,no,email,1,jun,347,3,2,success
retired,married,no,no,unknown,11,jun,67,3,0,unknown
construction,married,no,no,email,28,jan,134,5,2,success
retired,divorced,no,no,email,13,nov,227,2,0,unknown
management,married,yes,no,email,14,may,164,1,0,unknown
management,single,yes,no,email,21,jul,87,4,0,unknown
management,single,no,no,email,28,oct,190,1,1,success
tech,single,yes,no,unknown,6,may,136,1,0,unknown
construction,married,yes,yes,email,5,may,138,1,0,unknown
management,married,no,no,phone,17,feb,466,4,0,unknown
management,married,yes,no,email,11,may,877,7,2,other
education,single,yes,no,unknown,26,may,1234,3,0,unknown
retired,married,yes,no,unknown,18,jun,88,8,0,unknown
management,married,no,no,email,14,aug,134,5,0,unknown
unemployed,divorced,no,no,email,8,nov,148,1,2,failure
construction,married,no,no,unknown,9,jun,287,1,0,unknown
tech,married,yes,no,email,30,apr,412,1,1,success
tech,married,no,no,email,8,jul,338,3,0,unknown
education,married,no,no,email,4,may,54,2,0,unknown
unemployed,married,no,no,email,29,dec,1370,3,3,success
education,married,no,no,email,13,oct,123,2,0,unknown
management,married,yes,no,email,18,mar,910,2,4,success
education,single,yes,yes,phone,21,oct,519,1,1,other
management,single,no,no,email,20,oct,676,2,2,failure
management,married,yes,no,unknown,16,may,803,1,0,unknown
management,married,yes,yes,email,18,may,600,4,4,other
management,married,yes,no,email,11,feb,280,4,0,unknown
management,married,yes,no,email,2,feb,289,2,4,other
unknown,married,no,no,email,9,jul,464,1,6,failure
services,single,yes,no,email,2,feb,96,1,2,other
unemployed,divorced,no,no,phone,27,aug,29,28,0,unknown
services,married,yes,no,email,15,may,744,1,0,unknown
retired,married,no,no,email,11,feb,671,1,3,failure
education,married,yes,no,email,7,may,121,2,0,unknown
education,married,yes,no,unknown,13,nov,231,1,0,unknown
construction,single,yes,no,unknown,28,may,576,3,0,unknown
management,married,no,no,phone,3,feb,26,2,1,failure
management,married,no,yes,email,29,aug,189,2,0,unknown
construction,married,no,no,email,1,jun,174,1,0,unknown
management,single,no,no,email,28,jun,297,4,4,other
management,married,no,no,phone,3,feb,26,2,1,failure
retail,married,no,no,email,13,aug,119,2,0,unknown
services,single,no,no,unknown,20,jun,9,13,0,unknown
student,single,no,no,email,30,apr,261,1,0,unknown
management,single,yes,no,email,16,apr,81,2,0,unknown
entrepreneur,married,no,no,email,20,nov,68,1,0,unknown
education,divorced,yes,yes,unknown,9,may,185,2,0,unknown
tech,divorced,yes,no,unknown,27,may,550,7,0,unknown
education,single,no,yes,email,7,sep,57,2,0,unknown
services,married,yes,no,email,21,jul,1017,6,0,unknown
management,single,no,no,email,5,aug,504,1,1,success
management,divorced,no,no,email,13,aug,305,2,0,unknown
tech,single,no,yes,unknown,2,jul,957,3,0,unknown
education,single,no,no,phone,12,may,360,1,5,success
construction,married,yes,no,email,29,aug,116,4,0,unknown
construction,single,yes,yes,email,4,feb,124,1,1,other
services,married,yes,no,unknown,27,may,299,1,0,unknown
tech,married,no,no,email,21,aug,819,10,0,unknown
management,single,no,no,email,5,aug,81,2,0,unknown
tech,married,yes,no,email,12,may,145,1,0,unknown
construction,single,no,no,email,16,feb,91,3,0,unknown
services,married,yes,yes,unknown,8,may,266,1,0,unknown
entrepreneur,married,no,no,unknown,13,may,113,2,0,unknown
tech,married,yes,no,email,20,apr,904,2,0,unknown
tech,single,no,no,email,6,may,140,2,0,unknown
management,divorced,yes,no,unknown,12,jun,84,3,0,unknown
education,married,no,no,email,18,oct,567,1,3,success
tech,married,yes,no,email,30,jul,152,5,0,unknown
self-employed,married,yes,yes,unknown,23,may,373,1,0,unknown
self-employed,married,yes,no,unknown,14,may,162,1,0,unknown
unemployed,married,no,no,email,21,apr,243,1,0,unknown
retired,married,yes,no,email,4,aug,249,1,0,unknown
retired,divorced,no,no,phone,18,may,353,3,0,unknown
retired,divorced,yes,yes,unknown,21,may,86,6,0,unknown
student,married,no,no,unknown,20,jun,28,4,0,unknown
retired,married,no,no,email,12,aug,219,4,0,unknown
education,single,yes,no,unknown,19,may,882,1,0,unknown
services,divorced,no,no,email,6,feb,285,6,0,unknown
management,married,no,no,email,30,apr,297,1,3,success
retired,married,no,no,phone,29,jul,301,3,0,unknown
education,married,no,yes,email,4,aug,120,3,6,success
management,married,yes,no,email,14,jul,287,2,1,failure
unemployed,married,yes,no,unknown,26,may,364,1,0,unknown
tech,married,yes,yes,unknown,6,jun,42,1,0,unknown
self-employed,married,no,no,unknown,17,jun,279,1,0,unknown
tech,divorced,no,no,email,22,jul,400,2,0,unknown
